number,x,y,z,qx,qy,qz,qw,attributes
105,3.23215508461,-31.9970207214,-0.0457251854241,-0.00194335348639,-0.00189764139664,-0.688846663365,0.724901991103,
106,3.24117422104,-33.0890045166,-0.0799549669027,0.000699865547732,-0.00557247048934,-0.698609834363,0.715480787367,
107,3.1966252327,-34.104221344,-0.0789922177792,0.00483402875649,-0.00759222320716,-0.722096815634,0.691733459624,
108,3.13600635529,-35.1495475769,-0.0689095854759,0.00545834882396,-0.0130684271031,-0.708187987788,0.705881857391,
109,3.20538806915,-36.1968078613,-0.0972732082009,0.0157498216244,-0.0151861993975,-0.622598756273,0.782235329779,
110,3.57555150986,-37.2067108154,-0.109474048018,0.019961858422,-0.011493270991,-0.494979952911,0.868599030132,
111,4.22868824005,-38.0554924011,-0.112502127886,0.0226718619349,-0.0165550706025,-0.391688980208,0.919669320516,
112,5.00003623962,-38.7846641541,-0.0978594049811,0.0243361886797,-0.0206763496639,-0.332998122628,0.942386592016,
113,5.83384227753,-39.4512176514,-0.109812907875,0.02247760747,-0.0217622377859,-0.310299500683,0.95012387721,
114,6.64046049118,-40.1200790405,-0.090932302177,0.02482915815,-0.0198372870897,-0.357420142679,0.933402826519,
115,7.39550733566,-40.8345985413,-0.0917251855135,0.0257806225676,-0.0195189856097,-0.382492998135,0.923392373305,
116,8.09777450562,-41.5901870728,-0.0910256505013,0.0268159364627,-0.0140988689689,-0.403180800765,0.914618701613,
117,8.76937198639,-42.3828086853,-0.0886670053005,0.0227256190239,-0.016714922446,-0.42798334717,0.903346230497,
118,9.47805404663,-43.1461143494,-0.077940300107,0.0237437228333,-0.0195814936041,-0.356175249355,0.933912197415,
119,10.2268104553,-43.8603668213,-0.0681613683701,0.0248419396691,-0.0195141606277,-0.328188343569,0.944083940502,
120,11.0283250809,-44.5447235107,-0.0693438947201,0.0214107095078,-0.0187314292974,-0.336838165949,0.941132703201,
121,11.8036880493,-45.2401771545,-0.0759507194161,0.0231421375564,-0.0160531243374,-0.352886639694,0.935242085342,
122,12.5803899765,-45.963394165,-0.0752836018801,0.0250688959745,-0.016114650915,-0.367708654556,0.929463401025,
123,13.3252315521,-46.7055168152,-0.0679029449821,0.0221679880608,-0.014099536875,-0.382108354994,0.923744005885,
124,14.0421791077,-47.4810562134,-0.0806168988347,0.0221476734877,-0.0141783593162,-0.400321347315,0.915997420067,
125,14.7217588425,-48.2743301392,-0.103218659759,0.0223079409249,-0.0127240469418,-0.415873036266,0.909059993679,
126,15.3938922882,-49.1008071899,-0.11487377435,0.025022801495,-0.0169156976862,-0.417369017147,0.908235003786,
127,16.1096820831,-49.8720550537,-0.104134052992,0.0191571143644,-0.0170702591037,-0.372501125404,0.927676949588,
128,16.9041137695,-50.6131591797,-0.107624568045,0.0248570418443,-0.0213147416765,-0.330322386336,0.943300021384,
129,17.7025032043,-51.265296936,-0.08615154773,0.0208246958643,-0.0152494125059,-0.334343203648,0.942097876887,
130,18.4682426453,-51.9334754944,-0.0840622410178,0.0205733476465,-0.0141570500938,-0.363646852921,0.931202062745,
131,19.2278079987,-52.7079849243,-0.097842425108,0.0205373832279,-0.0171909580792,-0.394218147451,0.918626550384,
